prcp,tmean,DEM,Silt_100cm,Clay_100cm
1148.210571,12.60849857,292.8215637,54.13388443,32.21790695
1501.184204,15.34763241,300.6585999,34.17419434,21.70844841
1639.657837,19.08624649,64.78455353,14.62837601,16.22221184
383.3421021,8.21837616,985.2570801,33.86051559,47.77254486
739.8947144,12.7756834,463.3317261,33.09827042,20.71450424
359.6052551,5.99930191,2154.149414,32.55390167,35.56859589
908.3947144,19.05529594,209.4579315,38.83921051,35.03204727
1527.894775,17.79769325,116.4740982,36.14995575,25.93515396
1229.710571,18.95532227,79.10235596,9.519611359,19.24097061
550.1842041,2.823841572,651.6067505,37.01931763,34.5128479
1446.394775,18.70199013,83.03543091,33.13737488,31.95399475
940.7368164,19.84207726,105.3678131,13.88980675,27.2794323
561.0263062,22.42245483,140.3264465,22.43976021,29.54527092
1223.736816,15.81848335,105.9495163,11.05452824,38.64318466
517.6578979,17.25626183,720.7998657,31.67465591,38.11790466
1066.394775,16.44768524,288.086853,23.7307415,28.70148087
1333.973633,17.90338135,72.27237701,43.58579254,33.21411514
1205,18.56398773,97.51600647,10.96762562,18.29350662
1011.684204,16.06914902,332.1666565,19.03434944,24.14969444
860.1578979,18.72915077,466.3779907,44.62690735,36.9457283
1555.710571,19.15319824,60.9286232,42.71010208,32.53278351
768.3684082,9.694566727,465.5568542,46.15950394,31.51928329
1428.447388,17.16106415,2.565409184,46.95849228,38.90018463
984.5,19.08044815,165.3024292,28.39407921,50.85383987
342.3684082,6.642963409,882.6314697,46.55922699,24.90404129
829.6052856,17.48827553,421.214325,35.19054031,35.71358871
428.921051,5.952993393,1314.424683,42.19439697,12.17162609
1516.289429,16.75813484,109.6094513,33.08310318,28.97052383
1013.315796,21.04243851,74.5719986,13.58793068,13.79521084
1561.868408,16.10469437,178.6655731,21.10449982,18.81184578
875.9736938,18.25679779,268.0649719,32.38057327,30.83256149
1038.921021,11.69300365,285.7798462,51.05004501,36.63241577
804.6052856,16.18518257,423.7424011,21.39164352,17.64389229
970.2368164,19.11319542,170.6400452,32.23498535,40.30036926
691.6578979,18.72357941,428.1921082,29.37594223,18.5520668
1502.526367,18.02808762,126.2974625,18.69550514,20.9947567
322.6315918,8.596075058,2217.003662,23.60000038,17
406.578949,8.42135334,2128.759033,42.52598953,25.45693207
1395.526367,17.04541969,93.52690887,25.18558311,27.94903564
1727,19.00157166,85.52913666,45.15573883,19.86749268
434,10.13559246,1969.11792,25.5,39.79999924
1662.710571,20.12512779,0.525250852,37.20683289,54.7563591
1389.263184,20.00775719,18.22823334,26.20257568,19.77383614
506.3684082,17.96175766,725.2177734,45.25206757,46.87474823
840.7894897,14.0627718,416.4865112,13.52938461,11.63948536
1489.157837,16.82514763,113.6821747,31.94471931,31.87722778
1313.5,19.20703888,55.64934158,15.33535385,25.38319588
430.1842041,7.005013466,1025.784546,40.09834671,33.5713501
466.2631531,7.048356056,1989.371826,26.36225891,22.41506004
1185,17.54315376,156.7776489,26.84912682,53.20183563
1172.210571,13.81861687,272.8952942,41.94453812,41.95573807
1275.710571,20.00063705,6.613182068,21.00376511,30.6343441
480.3421021,11.8124752,1978.88208,30.79072571,36.22011185
999.2894897,15.05407333,278.4012756,51.63507843,34.51680374
1193.736816,13.29918098,337.1199951,47.52754974,36.19761276
356.7105408,11.71578121,1690.629761,24.61000824,22.39944839
582.4473877,16.89135742,517.9943237,53.20633698,32.18870544
1370.684204,17.68986702,5.764260769,17.38606262,22.81197739
1233.342163,16.32502365,271.9966125,26.78044128,33.97190094
1486.315796,15.82341385,163.0674591,31.55294609,18.75534058
1041.105225,17.69252968,212.8560638,30.60807991,38.36868668
489.0263062,5.358623981,1600.459106,35.13673019,30.14012909
1298.657837,19.04582596,55.14585114,20.70535278,33.49145508
543.5,9.682526588,907.1099854,65.23902893,19.63866043
1041.842163,19.51033211,135.6485596,23.60183716,31.14591408
1575.815796,20.61253738,6.30680275,1.06244266,3.155096292
1447.210571,17.41000175,48.40353012,68.50091553,19.53452682
397,14.83250332,1439.251953,24.02727127,30.86363602
1498.394775,19.18813324,18.97592735,49.9382019,33.01937485
918.8421021,19.58341026,302.9379883,31.97640038,43.30890656
1471.842163,16.80299568,83.57511139,31.67842102,16.45748329
