x,y,prcp,tmean,DEM,SDV_100cm,Silt_100cm,Clay_100cm
-1142554,2640960,560.3421021,5.742900848,1764.887817,0.403122127,31.23673058,28.39476585
668446,1467960,1379.105225,14.93685341,132.8036346,0.20119375,41.93021011,23.47226906
-1434554,2613960,537.1578979,4.91123867,1377.613892,1,36.59999847,16.10000038
1782446,1571960,1431.5,16.99275208,1.610413551,0.120293848,40.40018082,12.08879662
767446,1541960,1339.894775,14.47773647,138.1627197,0.076632939,47.84939957,34.80101013
-2016554,1645960,469.7368469,13.03103638,942.8477173,0.5,20.71377373,18.75114822
196446,751960,1648.789429,20.70982742,1.102492332,8.297408104,28.2422924,47.04679489
-517554,1036960,463.6315918,17.68666267,763.0537109,0.897153318,11.02552795,16.11055946
1334446,810960,1326.473633,21.05143929,17.83051682,0.100000001,15.11149406,26.78161049
709446,1020960,1528.684204,17.92361069,93.00862885,0.970247924,17.73856735,17.06712532
881446,1450960,1473.184204,14.37299633,359.6479797,0.08980716,59.81606674,23.79706192
-1553554,2103960,366.4736938,7.772393703,1985.927612,0.252157956,44.58778763,16.32231522
637446,955960,1565.947388,18.47466087,86.15784454,0.569605172,20.70027542,13.52323246
2124446,2905960,1224.578979,4.12178278,310.9822388,0.170064285,50.7372818,8.911846161
9446,922960,1098.447388,19.21496582,124.2364502,0.331221312,9.402479172,7.001193523
-405554,602960,531.7368164,22.08715248,233.0284424,7.775323391,18.9095192,26.27366066
-855554,1187960,401.2631531,13.35143089,1598.644165,1.019283772,38.70550919,21.49118614
-767554,2197960,362.8947449,6.887130737,1876.960327,0.139393941,22.36271858,13.89412308
596446,2222960,897.6315918,8.506137848,294.7666016,0.100000001,34.36969757,17.7384758
-1321554,1969960,569.7894897,5.275147438,2427.699463,0.22892563,37.70000076,22.5
-389554,1111960,604.1842041,17.73617935,517.6651001,1.347474694,33.46326828,30.37144089
-889554,2393960,501.7894592,3.033892393,2483.782715,0.359044999,35.41918945,27.3572998
-1826554,2154960,341.4736938,8.562514305,1734.319092,0.524242401,33.89696884,32.40991592
217446,1377960,1246.578979,15.93696976,111.9583359,0.040220387,40.00753021,38.84223938
